model,forecast_date,target,target_week_end_date,point,quantile_0.05,quantile_0.95
Ensemble,2020-05-24,1 wk ahead cum death,2020-05-31,201.0,,
Ensemble,2020-05-31,1 wk ahead cum death,2020-06-07,269.5,,
Ensemble,2020-05-31,2 wk ahead cum death,2020-06-14,347.5,,
Ensemble,2020-05-31,3 wk ahead cum death,2020-06-21,415.0,,
Ensemble,2020-05-31,4 wk ahead cum death,2020-06-28,482.5,,
Ensemble,2020-05-31,5 wk ahead cum death,2020-07-05,550.0,,
Ensemble,2020-05-31,6 wk ahead cum death,2020-07-12,620.0,,
Ensemble,2020-06-07,1 wk ahead cum death,2020-06-14,310.0,,
Ensemble,2020-06-14,1 wk ahead cum death,2020-06-21,323.5,,
Ensemble,2020-06-14,2 wk ahead cum death,2020-06-28,358.5,,
Ensemble,2020-06-14,3 wk ahead cum death,2020-07-05,387.5,,
Ensemble,2020-06-14,4 wk ahead cum death,2020-07-12,419.0,,
Ensemble,2020-06-14,5 wk ahead cum death,2020-07-19,452.0,,
Ensemble,2020-06-14,6 wk ahead cum death,2020-07-26,488.5,,
Ensemble,2020-06-21,1 wk ahead cum death,2020-06-28,353.0,,
Ensemble,2020-06-21,2 wk ahead cum death,2020-07-05,383.0,,
Ensemble,2020-06-21,3 wk ahead cum death,2020-07-12,405.0,,
Ensemble,2020-06-21,4 wk ahead cum death,2020-07-19,425.0,,
Ensemble,2020-06-21,5 wk ahead cum death,2020-07-26,442.0,,
Ensemble,2020-06-21,6 wk ahead cum death,2020-08-02,456.0,,
Ensemble,2020-06-28,1 wk ahead cum death,2020-07-05,373.0,,
Ensemble,2020-06-28,2 wk ahead cum death,2020-07-12,404.0,,
Ensemble,2020-06-28,3 wk ahead cum death,2020-07-19,427.0,,
Ensemble,2020-06-28,4 wk ahead cum death,2020-07-26,443.0,,
Ensemble,2020-06-28,5 wk ahead cum death,2020-08-02,456.0,,
Ensemble,2020-06-28,6 wk ahead cum death,2020-08-09,469.5,,
Ensemble,2020-07-05,1 wk ahead cum death,2020-07-12,390.0,,
Ensemble,2020-07-05,2 wk ahead cum death,2020-07-19,412.5,,
Ensemble,2020-07-05,3 wk ahead cum death,2020-07-26,434.0,,
Ensemble,2020-07-05,4 wk ahead cum death,2020-08-02,454.0,,
Ensemble,2020-07-05,5 wk ahead cum death,2020-08-09,474.0,,
Ensemble,2020-07-05,6 wk ahead cum death,2020-08-16,496.5,,
Ensemble,2020-07-12,1 wk ahead cum death,2020-07-19,410.0,,
Ensemble,2020-07-12,2 wk ahead cum death,2020-07-26,431.0,,
Ensemble,2020-07-12,3 wk ahead cum death,2020-08-02,454.0,,
Ensemble,2020-07-12,4 wk ahead cum death,2020-08-09,477.0,,
Ensemble,2020-07-12,5 wk ahead cum death,2020-08-16,502.0,,
Ensemble,2020-07-12,6 wk ahead cum death,2020-08-23,526.0,,
Ensemble,2020-07-19,1 wk ahead cum death,2020-07-26,426.0,,
Ensemble,2020-07-19,2 wk ahead cum death,2020-08-02,443.0,,
Ensemble,2020-07-19,3 wk ahead cum death,2020-08-09,456.0,,
Ensemble,2020-07-19,4 wk ahead cum death,2020-08-16,467.0,,
Ensemble,2020-07-19,5 wk ahead cum death,2020-08-23,480.0,,
Ensemble,2020-07-19,6 wk ahead cum death,2020-08-30,496.0,,
Ensemble,2020-07-26,1 wk ahead cum death,2020-08-02,452.0,,
Ensemble,2020-07-26,2 wk ahead cum death,2020-08-09,467.0,,
Ensemble,2020-07-26,3 wk ahead cum death,2020-08-16,483.0,,
Ensemble,2020-07-26,4 wk ahead cum death,2020-08-23,495.0,,
Ensemble,2020-07-26,5 wk ahead cum death,2020-08-30,502.0,,
Ensemble,2020-07-26,6 wk ahead cum death,2020-09-06,510.0,,
Ensemble,2020-08-02,1 wk ahead cum death,2020-08-09,477.0,,
Ensemble,2020-08-02,2 wk ahead cum death,2020-08-16,500.0,,
Ensemble,2020-08-02,3 wk ahead cum death,2020-08-23,514.0,,
Ensemble,2020-08-02,4 wk ahead cum death,2020-08-30,532.0,,
Ensemble,2020-08-02,5 wk ahead cum death,2020-09-06,549.0,,
Ensemble,2020-08-02,6 wk ahead cum death,2020-09-13,564.0,,
Ensemble,2020-08-09,1 wk ahead cum death,2020-08-16,498.0,,
Ensemble,2020-08-09,2 wk ahead cum death,2020-08-23,513.0,,
Ensemble,2020-08-09,3 wk ahead cum death,2020-08-30,526.0,,
Ensemble,2020-08-09,4 wk ahead cum death,2020-09-06,538.5,,
Ensemble,2020-08-09,5 wk ahead cum death,2020-09-13,548.5,,
Ensemble,2020-08-09,6 wk ahead cum death,2020-09-20,557.0,,
Ensemble,2020-08-16,1 wk ahead cum death,2020-08-23,522.5,,
Ensemble,2020-08-16,2 wk ahead cum death,2020-08-30,543.0,,
Ensemble,2020-08-16,3 wk ahead cum death,2020-09-06,562.5,,
Ensemble,2020-08-16,4 wk ahead cum death,2020-09-13,581.0,,
Ensemble,2020-08-16,5 wk ahead cum death,2020-09-20,598.5,,
Ensemble,2020-08-16,6 wk ahead cum death,2020-09-27,614.5,,
Ensemble,2020-08-30,1 wk ahead cum death,2020-09-06,545.5,,
Ensemble,2020-08-30,2 wk ahead cum death,2020-09-13,561.5,,
Ensemble,2020-08-30,3 wk ahead cum death,2020-09-20,576.0,,
Ensemble,2020-08-30,4 wk ahead cum death,2020-09-27,590.5,,
Ensemble,2020-08-30,5 wk ahead cum death,2020-10-04,604.0,,
Ensemble,2020-08-30,6 wk ahead cum death,2020-10-11,615.0,,
Ensemble,2020-09-13,1 wk ahead cum death,2020-09-20,577.0,,
Ensemble,2020-09-13,2 wk ahead cum death,2020-09-27,594.0,,
Ensemble,2020-09-13,3 wk ahead cum death,2020-10-04,610.0,,
Ensemble,2020-09-13,4 wk ahead cum death,2020-10-11,626.0,,
Ensemble,2020-09-13,5 wk ahead cum death,2020-10-18,641.0,,
Ensemble,2020-09-13,6 wk ahead cum death,2020-10-25,651.0,,
Ensemble,2020-10-04,1 wk ahead cum death,2020-10-11,645.0,,
Ensemble,2020-10-04,2 wk ahead cum death,2020-10-18,665.0,,
Ensemble,2020-10-04,3 wk ahead cum death,2020-10-25,684.0,,
Ensemble,2020-10-04,4 wk ahead cum death,2020-11-01,697.0,,
Ensemble,2020-10-04,5 wk ahead cum death,2020-11-08,687.5,,
Ensemble,2020-10-04,6 wk ahead cum death,2020-11-15,695.5,,
Ensemble,2020-08-23,1 wk ahead cum death,2020-08-30,538.5,,
Ensemble,2020-08-23,2 wk ahead cum death,2020-09-06,559.5,,
Ensemble,2020-08-23,3 wk ahead cum death,2020-09-13,578.5,,
Ensemble,2020-08-23,4 wk ahead cum death,2020-09-20,590.5,,
Ensemble,2020-08-23,5 wk ahead cum death,2020-09-27,600.0,,
Ensemble,2020-08-23,6 wk ahead cum death,2020-10-04,610.0,,
Ensemble,2020-09-20,1 wk ahead cum death,2020-09-27,604.0,,
Ensemble,2020-09-20,2 wk ahead cum death,2020-10-04,621.0,,
Ensemble,2020-09-20,3 wk ahead cum death,2020-10-11,641.0,,
Ensemble,2020-09-20,4 wk ahead cum death,2020-10-18,660.0,,
Ensemble,2020-09-20,5 wk ahead cum death,2020-10-25,680.0,,
Ensemble,2020-09-20,6 wk ahead cum death,2020-11-01,701.0,,
Ensemble,2020-09-06,1 wk ahead cum death,2020-09-13,564.0,,
Ensemble,2020-09-06,2 wk ahead cum death,2020-09-20,580.0,,
Ensemble,2020-09-06,3 wk ahead cum death,2020-09-27,594.0,,
Ensemble,2020-09-06,4 wk ahead cum death,2020-10-04,606.0,,
Ensemble,2020-09-06,5 wk ahead cum death,2020-10-11,619.0,,
Ensemble,2020-09-06,6 wk ahead cum death,2020-10-18,632.0,,
