model,date,point,lower,upper
USC,2020-03-08,1.26,,
USC,2020-03-15,1.26,,
USC,2020-03-22,1.77,,
USC,2020-03-29,2.23,,
USC,2020-04-05,1.06,,
USC,2020-04-12,1.24,,
USC,2020-04-19,2.25,,
USC,2020-04-26,1.82,,
USC,2020-05-03,2.57,,
USC,2020-05-10,1.00,,
USC,2020-05-17,0.90,,
USC,2020-05-24,0.92,,
USC,2020-05-31,0.80,,
USC,2020-06-07,0.97,,
USC,2020-06-14,1.03,,
USC,2020-06-21,1.08,,
USC,2020-06-28,0.99,,
USC,2020-07-05,0.99,,
USC,2020-07-19,0.82,,
USC,2020-07-26,0.95,,
USC,2020-08-01,0.95,,
USC,2020-08-09,1.05,,
USC,2020-08-16,1.01,,
USC,2020-08-23,1.01,,
USC,2020-08-30,0.98,,
USC,2020-09-13,1.06,,
USC,2020-09-20,1.06,,
USC,2020-09-27,1.04,,
USC,2020-09-13,1.04,,
USC,2020-10-04,1.01,,
USC,2020-10-11,1.01,,
USC,2020-10-18,1.08,,
YYG,2020-03-08,1.76,,
YYG,2020-03-15,1.75,,
YYG,2020-03-22,1.73,,
YYG,2020-03-29,1.67,,
YYG,2020-04-05,1.46,,
YYG,2020-04-12,1.11,,
YYG,2020-04-19,0.94,,
YYG,2020-04-26,0.89,,
YYG,2020-05-03,0.88,,
YYG,2020-05-10,0.88,,
YYG,2020-05-17,0.87,,
YYG,2020-05-24,0.87,,
YYG,2020-05-31,0.87,,
YYG,2020-06-07,0.87,,
YYG,2020-06-14,0.87,,
YYG,2020-06-21,0.88,,
YYG,2020-06-28,0.90,,
YYG,2020-07-05,0.94,,
YYG,2020-07-19,1.09,,
YYG,2020-07-26,1.10,,
YYG,2020-08-02,1.04,0.88,1,26
YYG,2020-08-09,1.00,0.88,1.18
YYG,2020-08-16,0.98,0.87,1.10
YYG,2020-08-23,0.95,0.86,1.07
YYG,2020-08-30,0.95,0.86,1.07
YYG,2020-09-13,0.96,0.84,1.01
YYG,2020-09-20,0.98,1.12,0.83
YYG,2020-09-27,0.98,1.14,0.83
YYG,2020-10-04,0.99,1.16,0.82
YYG,2020-10-11,0.99,1.19,0.81
YYG,2020-10-18,0.99,0.81,1.17
Imperial,2020-05-17,1.74,0.95,2.63
Imperial,2020-05-24,1.06,0.64,1.71
Imperial,2020-05-31,1.27,0.78,1.96
Imperial,2020-06-07,0.88,0.52,1.36
Imperial,2020-06-14,0.71,0.34,1.18
Imperial,2020-06-21,0.82,0.56,1.18
Imperial,2020-06-28,0.82,0.34,1.23
Imperial,2020-07-05,0.94,0.66,1.93
Imperial,2020-07-12,1.00,0.64,1.82
Imperial,2020-07-19,1.03,0.64,1.99
Imperial,2020-07-26,1.18,0.75,2.32
Imperial,2020-08-02,0.92,0.32,1,38
Imperial,2020-08-09,0.88,0.54,1.38
Imperial,2020-08-16,1.17,0.68,2.18
Imperial,2020-08-30,1.07,0.56,2.27
Imperial,2020-09-13,1.12,0.59,1.98
Imperial,2020-09-20,1.20,0.78,2.28
Imperial,2020-10-04,1.05,0.71,2.13
Imperial,2020-10-11,1.23,0.87,2.44
Imperial,2020-10-18,1.20,0.86,1.70
Geneva,2020-03-15,1.91,1.30,2.65
Geneva,2020-03-22,1.12,0.79,1.2
Geneva,2020-03-29,1.40,1.04,1.81
Geneva,2020-04-05,2.33,2.1,3.05
Geneva,2020-04-12,1.26,1.13,1.40
Geneva,2020-04-19,1.17,1.06,1.29
Geneva,2020-04-26,1.45,1.35,1.56
Geneva,2020-05-03,1.39,1.31,1.47
Geneva,2020-05-10,1.56,1.50,1.63
Geneva,2020-05-17,1.28,1.24,1.33
Geneva,2020-05-24,0.97,0.94,1.00
Geneva,2020-05-31,1.00,0.96,1.03
Geneva,2020-06-07,0.86,0.83,0.90
Geneva,2020-06-14,0.82,0.82,0.90
Geneva,2020-06-21,1.01,0.97,1.05
Geneva,2020-06-28,1.11,1.07,1.15
Geneva,2020-07-05,1.00,0.96,1.03
Geneva,2020-07-12,0.99,0.95,1.03
Geneva,2020-07-19,0.97,0.93,1.0
Geneva,2020-07-26,1.02,1.04,1.08
Geneva,2020-08-02,0.88,0.84,0.91
Geneva,2020-08-09,0.95,0.99,1.03
Geneva,2020-08-16,1.01,0.97,1.05
Geneva,2020-08-30,1,0.96,1.04
Geneva,2020-09-13,1.0,0.96,1.04
Geneva,2020-10-04,0.94,0.99,1.03
Geneva,2020-10-11,1.08,1.07,1.11
Geneva,2020-10-18,1.10,1.06,1.14
