date,Kuwait
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,
2020-03-05,
2020-03-06,0
2020-03-07,
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,0
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,0
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,1
2020-04-06,1
2020-04-07,1
2020-04-08,1
2020-04-09,1
2020-04-10,1
2020-04-11,1
2020-04-12,1
2020-04-13,1
2020-04-14,2
2020-04-15,3
2020-04-16,3
2020-04-17,3
2020-04-18,5
2020-04-19,6
2020-04-20,7
2020-04-21,9
2020-04-22,11
2020-04-23,13
2020-04-24,14
2020-04-25,15
2020-04-26,19
2020-04-27,20
2020-04-28,22
2020-04-29,23
2020-04-30,24
2020-05-01,26
2020-05-02,30
2020-05-03,33
2020-05-04,38
2020-05-05,40
2020-05-06,40
2020-05-07,42
2020-05-08,44
2020-05-09,47
2020-05-10,49
2020-05-11,58
2020-05-12,65
2020-05-13,75
2020-05-14,82
2020-05-15,88
2020-05-16,96
2020-05-17,107
2020-05-18,112
2020-05-19,118
2020-05-20,121
2020-05-21,124
2020-05-22,129
2020-05-23,138
2020-05-24,148
2020-05-25,156
2020-05-26,165
2020-05-27,172
2020-05-28,175
2020-05-29,185
2020-05-30,194
2020-05-31,205
2020-06-01,212
2020-06-02,220
2020-06-03,226
2020-06-04,230
2020-06-05,236
2020-06-06,244
2020-06-07,254
2020-06-08,264
2020-06-09,269
2020-06-10,273
2020-06-11,275
2020-06-12,279
2020-06-13,285
2020-06-14,289
2020-06-15,296
2020-06-16,298
2020-06-17,303
2020-06-18,306
2020-06-19,308
2020-06-20,313
2020-06-21,319
2020-06-22,326
2020-06-23,330
2020-06-24,334
2020-06-25,337
2020-06-26,339
2020-06-27,341
2020-06-28,344
2020-06-29,348
2020-06-30,350
2020-07-01,354
2020-07-02,358
2020-07-03,359
2020-07-04,360
2020-07-05,365
2020-07-06,368
2020-07-07,373
2020-07-08,377
2020-07-09,379
2020-07-10,382
2020-07-11,383
2020-07-12,386
2020-07-13,390
2020-07-14,393
2020-07-15,396
2020-07-16,399
2020-07-17,402
2020-07-18,404
2020-07-19,407
2020-07-20,408
2020-07-21,408
2020-07-22,412
2020-07-23,417
2020-07-24,421
2020-07-25,425
2020-07-26,429
2020-07-27,433
2020-07-28,438
2020-07-29,442
2020-07-30,444
2020-07-31,445
2020-08-01,447
2020-08-02,453
2020-08-03,457
2020-08-04,461
2020-08-05,465
2020-08-06,468
2020-08-07,469
2020-08-08,471
2020-08-09,474
2020-08-10,478
2020-08-11,482
2020-08-12,486
2020-08-13,489
2020-08-14,489
2020-08-15,494
2020-08-16,498
2020-08-17,501
2020-08-18,502
2020-08-19,505
2020-08-20,507
2020-08-21,509
2020-08-22,511
2020-08-23,513
2020-08-24,515
2020-08-25,518
2020-08-26,519
2020-08-27,521
2020-08-28,522
2020-08-29,525
2020-08-30,528
2020-08-31,530
2020-09-01,531
