date_reported,data_type_id,location_id,covid_measure_id,mean,upper,lower,dt_mean,dt_upper,dt_lower,data_class_id
12/21/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/21/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/22/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/23/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/24/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/25/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/26/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/27/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/28/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/29/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/30/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
12/31/2019,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/1/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/2/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/3/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/4/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/5/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/6/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/7/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/8/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/9/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,1,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,8,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,1,145,23,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,9,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,2,145,6,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/10/2020,1,145,24,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,2,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,3,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
1/11/2020,2,145,5,0,0,0,9/9/9999,9/9/9999,9/9/9999,1
