"covid_measure_id","location_id","date_reported","data_type_id","scenario_id","mean","upper","lower","dt_mean","dt_upper","dt_lower","data_class_id.x","date","location_name","covid_measure_name","data_class_id.y","definition","datatype","scenario_name"
1,145,2019-12-21,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-22,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-23,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-23,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-24,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-24,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-25,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-25,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-26,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-26,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-27,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-27,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-28,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-28,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-29,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-29,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-30,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-30,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2019-12-31,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2019-12-31,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-01,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-01,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-02,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-02,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-03,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-03,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-04,2,1,0,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-04,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-05,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-05,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-06,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-06,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-07,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-07,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-08,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-08,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-09,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-09,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-10,2,1,12.7455,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-10,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-11,2,1,11.1115,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-11,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-12,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-12,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-13,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-13,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-14,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-14,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-15,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-15,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-16,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-16,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-17,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-17,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-18,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-18,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-19,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-19,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-20,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-20,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-21,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-21,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
1,145,2020-01-22,2,1,0.986357142857143,0,0,"9999-09-09","9999-09-09","9999-09-09",1,2020-01-22,"Kuwait","covid_all_bed",1,"all covid beds needed","Estimate","Reference"
