model,forecast_date,target,target_week_end_date,point,quantile_0.05,quantile_0.95
Ensemble,2020-05-24,1 wk ahead cum death,2020-05-31,201.0,,
Ensemble,2020-05-31,1 wk ahead cum death,2020-06-07,269.5,,
Ensemble,2020-05-31,2 wk ahead cum death,2020-06-14,347.5,,
Ensemble,2020-05-31,3 wk ahead cum death,2020-06-21,415.0,,
Ensemble,2020-05-31,4 wk ahead cum death,2020-06-28,482.5,,
Ensemble,2020-05-31,5 wk ahead cum death,2020-07-05,550.0,,
Ensemble,2020-05-31,6 wk ahead cum death,2020-07-12,620.0,,
Ensemble,2020-06-07,1 wk ahead cum death,2020-06-14,310.0,,
Ensemble,2020-06-14,1 wk ahead cum death,2020-06-21,323.5,,
Ensemble,2020-06-14,2 wk ahead cum death,2020-06-28,358.5,,
Ensemble,2020-06-14,3 wk ahead cum death,2020-07-05,387.5,,
Ensemble,2020-06-14,4 wk ahead cum death,2020-07-12,419.0,,
Ensemble,2020-06-14,5 wk ahead cum death,2020-07-19,452.0,,
Ensemble,2020-06-14,6 wk ahead cum death,2020-07-26,488.5,,
Ensemble,2020-06-21,1 wk ahead cum death,2020-06-28,353.0,,
Ensemble,2020-06-21,2 wk ahead cum death,2020-07-05,383.0,,
Ensemble,2020-06-21,3 wk ahead cum death,2020-07-12,405.0,,
Ensemble,2020-06-21,4 wk ahead cum death,2020-07-19,425.0,,
Ensemble,2020-06-21,5 wk ahead cum death,2020-07-26,442.0,,
Ensemble,2020-06-21,6 wk ahead cum death,2020-08-02,456.0,,
Ensemble,2020-06-28,1 wk ahead cum death,2020-07-05,373.0,,
Ensemble,2020-06-28,2 wk ahead cum death,2020-07-12,404.0,,
Ensemble,2020-06-28,3 wk ahead cum death,2020-07-19,427.0,,
Ensemble,2020-06-28,4 wk ahead cum death,2020-07-26,443.0,,
Ensemble,2020-06-28,5 wk ahead cum death,2020-08-02,456.0,,
Ensemble,2020-06-28,6 wk ahead cum death,2020-08-09,469.5,,
Ensemble,2020-07-05,1 wk ahead cum death,2020-07-12,390.0,,
Ensemble,2020-07-05,2 wk ahead cum death,2020-07-19,412.5,,
Ensemble,2020-07-05,3 wk ahead cum death,2020-07-26,434.0,,
Ensemble,2020-07-05,4 wk ahead cum death,2020-08-02,454.0,,
Ensemble,2020-07-05,5 wk ahead cum death,2020-08-09,474.0,,
Ensemble,2020-07-05,6 wk ahead cum death,2020-08-16,496.5,,
Ensemble,2020-07-12,1 wk ahead cum death,2020-07-19,410.0,,
Ensemble,2020-07-12,2 wk ahead cum death,2020-07-26,431.0,,
Ensemble,2020-07-12,3 wk ahead cum death,2020-08-02,454.0,,
Ensemble,2020-07-12,4 wk ahead cum death,2020-08-09,477.0,,
Ensemble,2020-07-12,5 wk ahead cum death,2020-08-16,502.0,,
Ensemble,2020-07-12,6 wk ahead cum death,2020-08-23,526.0,,
Ensemble,2020-07-19,1 wk ahead cum death,2020-07-26,426.0,,
Ensemble,2020-07-19,2 wk ahead cum death,2020-08-02,443.0,,
Ensemble,2020-07-19,3 wk ahead cum death,2020-08-09,456.0,,
Ensemble,2020-07-19,4 wk ahead cum death,2020-08-16,467.0,,
Ensemble,2020-07-19,5 wk ahead cum death,2020-08-23,480.0,,
Ensemble,2020-07-19,6 wk ahead cum death,2020-08-30,496.0,,
Ensemble,2020-07-26,1 wk ahead cum death,2020-08-02,452.0,,
Ensemble,2020-07-26,2 wk ahead cum death,2020-08-09,467.0,,
Ensemble,2020-07-26,3 wk ahead cum death,2020-08-16,483.0,,
Ensemble,2020-07-26,4 wk ahead cum death,2020-08-23,495.0,,
Ensemble,2020-07-26,5 wk ahead cum death,2020-08-30,502.0,,
Ensemble,2020-07-26,6 wk ahead cum death,2020-09-06,510.0,,
Ensemble,2020-08-02,1 wk ahead cum death,2020-08-09,477.0,,
Ensemble,2020-08-02,2 wk ahead cum death,2020-08-16,500.0,,
Ensemble,2020-08-02,3 wk ahead cum death,2020-08-23,514.0,,
Ensemble,2020-08-02,4 wk ahead cum death,2020-08-30,532.0,,
Ensemble,2020-08-02,5 wk ahead cum death,2020-09-06,549.0,,
Ensemble,2020-08-02,6 wk ahead cum death,2020-09-13,564.0,,
Geneva,2020-05-24,1 wk ahead cum death,2020-05-31,169,,
Geneva,2020-05-31,1 wk ahead cum death,2020-06-07,250,,
Geneva,2020-06-07,1 wk ahead cum death,2020-06-14,279,,
Geneva,2020-06-14,1 wk ahead cum death,2020-06-21,308,,
Geneva,2020-06-21,1 wk ahead cum death,2020-06-28,342,,
Geneva,2020-06-28,1 wk ahead cum death,2020-07-05,353,,
Geneva,2020-07-05,1 wk ahead cum death,2020-07-12,385,,
Geneva,2020-07-12,1 wk ahead cum death,2020-07-19,408,,
Geneva,2020-07-19,1 wk ahead cum death,2020-07-26,425,,
Geneva,2020-07-26,1 wk ahead cum death,2020-08-02,452,,
Geneva,2020-08-02,1 wk ahead cum death,2020-08-09,468,,
IHME,2020-05-31,1 wk ahead cum death,2020-06-07,288,251,340
IHME,2020-05-31,2 wk ahead cum death,2020-06-14,372,292,514
IHME,2020-05-31,3 wk ahead cum death,2020-06-21,450,330,678
IHME,2020-05-31,4 wk ahead cum death,2020-06-28,520,363,818
IHME,2020-05-31,5 wk ahead cum death,2020-07-05,582,393,947
IHME,2020-05-31,6 wk ahead cum death,2020-07-12,638,419,1054
IHME,2020-06-14,1 wk ahead cum death,2020-06-21,320,318,323
IHME,2020-06-14,2 wk ahead cum death,2020-06-28,352,343,362
IHME,2020-06-14,3 wk ahead cum death,2020-07-05,385,366,406
IHME,2020-06-14,4 wk ahead cum death,2020-07-12,419,388,455
IHME,2020-06-14,5 wk ahead cum death,2020-07-19,455,409,510
IHME,2020-06-14,6 wk ahead cum death,2020-07-26,496,431,579
IHME,2020-06-28,1 wk ahead cum death,2020-07-05,381,367,398
IHME,2020-06-28,2 wk ahead cum death,2020-07-12,409,387,441
IHME,2020-06-28,3 wk ahead cum death,2020-07-19,436,403,484
IHME,2020-06-28,4 wk ahead cum death,2020-07-26,464,419,530
IHME,2020-06-28,5 wk ahead cum death,2020-08-02,494,434,586
IHME,2020-06-28,6 wk ahead cum death,2020-08-09,528,450,650
IHME,2020-07-05,1 wk ahead cum death,2020-07-12,391,387,396
IHME,2020-07-05,2 wk ahead cum death,2020-07-19,415,405,428
IHME,2020-07-05,3 wk ahead cum death,2020-07-26,440,421,463
IHME,2020-07-05,4 wk ahead cum death,2020-08-02,464,437,499
IHME,2020-07-05,5 wk ahead cum death,2020-08-09,488,451,539
IHME,2020-07-05,6 wk ahead cum death,2020-08-16,515,466,584
IHME,2020-07-12,1 wk ahead cum death,2020-07-19,409,417,404
IHME,2020-07-12,2 wk ahead cum death,2020-07-26,431,449,420
IHME,2020-07-12,3 wk ahead cum death,2020-08-02,454,486,436
IHME,2020-07-12,4 wk ahead cum death,2020-08-09,477,527,450
IHME,2020-07-12,5 wk ahead cum death,2020-08-16,502,570,465
IHME,2020-07-12,6 wk ahead cum death,2020-08-23,527,618,479
IHME,2020-07-19,1 wk ahead cum death,2020-07-26,426,431,413
IHME,2020-07-19,2 wk ahead cum death,2020-08-02,444,455,413
IHME,2020-07-19,3 wk ahead cum death,2020-08-09,462,480,413
IHME,2020-07-19,4 wk ahead cum death,2020-08-16,480,506,413
IHME,2020-07-19,5 wk ahead cum death,2020-08-23,497,533,413
IHME,2020-07-19,6 wk ahead cum death,2020-08-30,514,561,413
IHME,2020-07-26,1 wk ahead cum death,2020-08-02,443,449,438
IHME,2020-07-26,2 wk ahead cum death,2020-08-09,462,478,453
IHME,2020-07-26,3 wk ahead cum death,2020-08-16,483,511,467
IHME,2020-07-26,4 wk ahead cum death,2020-08-23,506,550,481
