model,forecast_date,target,target_week_end_date,point,quantile_0.05,quantile_0.95
Ensemble,2020-05-31,1 wk ahead cum cases,2020-06-07,36905.0,,
Ensemble,2020-05-31,2 wk ahead cum cases,2020-06-14,46200.0,,
Ensemble,2020-05-31,3 wk ahead cum cases,2020-06-21,55636.0,,
Ensemble,2020-05-31,4 wk ahead cum cases,2020-06-28,64758.0,,
Ensemble,2020-05-31,5 wk ahead cum cases,2020-07-05,73195.0,,
Ensemble,2020-05-31,6 wk ahead cum cases,2020-07-12,80689.0,,
Ensemble,2020-06-14,1 wk ahead cum cases,2020-06-21,42502.0,,
Ensemble,2020-06-14,2 wk ahead cum cases,2020-06-28,46741.0,,
Ensemble,2020-06-14,3 wk ahead cum cases,2020-07-05,50217.0,,
Ensemble,2020-06-14,4 wk ahead cum cases,2020-07-12,52962.0,,
Ensemble,2020-06-14,5 wk ahead cum cases,2020-07-19,55062.0,,
Ensemble,2020-06-14,6 wk ahead cum cases,2020-07-26,56619.0,,
Ensemble,2020-06-28,1 wk ahead cum cases,2020-07-05,49419.0,,
Ensemble,2020-06-28,2 wk ahead cum cases,2020-07-12,53272.0,,
Ensemble,2020-06-28,3 wk ahead cum cases,2020-07-19,56594.0,,
Ensemble,2020-06-28,4 wk ahead cum cases,2020-07-26,59404.0,,
Ensemble,2020-06-28,5 wk ahead cum cases,2020-08-02,61853.0,,
Ensemble,2020-06-28,6 wk ahead cum cases,2020-08-09,63821.0,,
Ensemble,2020-07-05,1 wk ahead cum cases,2020-07-12,54474.0,,
Ensemble,2020-07-05,2 wk ahead cum cases,2020-07-19,58451.0,,
Ensemble,2020-07-05,3 wk ahead cum cases,2020-07-26,61880.0,,
Ensemble,2020-07-05,4 wk ahead cum cases,2020-08-02,64728.0,,
Ensemble,2020-07-05,5 wk ahead cum cases,2020-08-09,67255.0,,
Ensemble,2020-07-05,6 wk ahead cum cases,2020-08-16,69294.0,,
Ensemble,2020-07-12,1 wk ahead cum cases,2020-07-19,59618.0,,
Ensemble,2020-07-12,2 wk ahead cum cases,2020-07-26,63646.0,,
Ensemble,2020-07-12,3 wk ahead cum cases,2020-08-02,67066.0,,
Ensemble,2020-07-12,4 wk ahead cum cases,2020-08-09,69925.0,,
Ensemble,2020-07-12,5 wk ahead cum cases,2020-08-16,72230.0,,
Ensemble,2020-07-12,6 wk ahead cum cases,2020-08-23,74274.0,,
Ensemble,2020-07-19,1 wk ahead cum cases,2020-07-26,62522.0,,
Ensemble,2020-07-19,2 wk ahead cum cases,2020-08-02,65338.0,,
Ensemble,2020-07-19,3 wk ahead cum cases,2020-08-09,67676.0,,
Ensemble,2020-07-19,4 wk ahead cum cases,2020-08-16,69561.0,,
Ensemble,2020-07-19,5 wk ahead cum cases,2020-08-23,71132.0,,
Ensemble,2020-07-19,6 wk ahead cum cases,2020-08-30,72464.0,,
Ensemble,2020-07-26,1 wk ahead cum cases,2020-08-02,67702.0,,
