date,Kuwait
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,3
2020-02-25,5
2020-02-26,11
2020-02-27,26
2020-02-28,43
2020-02-29,45
2020-03-01,45
2020-03-02,46
2020-03-03,56
2020-03-04,
2020-03-05,
2020-03-06,58
2020-03-07,
2020-03-08,61
2020-03-09,64
2020-03-10,65
2020-03-11,69
2020-03-12,72
2020-03-13,80
2020-03-14,100
2020-03-15,104
2020-03-16,112
2020-03-17,123
2020-03-18,130
2020-03-19,142
2020-03-20,148
2020-03-21,159
2020-03-22,176
2020-03-23,188
2020-03-24,189
2020-03-25,191
2020-03-26,195
2020-03-27,208
2020-03-28,225
2020-03-29,235
2020-03-30,255
2020-03-31,266
2020-04-01,289
2020-04-02,317
2020-04-03,342
2020-04-04,342
2020-04-05,479
2020-04-06,556
2020-04-07,665
2020-04-08,743
2020-04-09,855
2020-04-10,910
2020-04-11,993
2020-04-12,1154
2020-04-13,1234
2020-04-14,1300
2020-04-15,1355
2020-04-16,1405
2020-04-17,1524
2020-04-18,1658
2020-04-19,1752
2020-04-20,1915
2020-04-21,1995
2020-04-22,2080
2020-04-23,2248
2020-04-24,2399
2020-04-25,2614
2020-04-26,2892
2020-04-27,3075
2020-04-28,3288
2020-04-29,3440
2020-04-30,3740
2020-05-01,4024
2020-05-02,4377
2020-05-03,4619
2020-05-04,4983
2020-05-05,5278
2020-05-06,5804
2020-05-07,6289
2020-05-08,6567
2020-05-09,7208
2020-05-10,7623
2020-05-11,8688
2020-05-12,9286
2020-05-13,10277
2020-05-14,11028
2020-05-15,11975
2020-05-16,12860
2020-05-17,13802
2020-05-18,14850
2020-05-19,15691
2020-05-20,16764
2020-05-21,17568
2020-05-22,18609
2020-05-23,19564
2020-05-24,20464
2020-05-25,21302
2020-05-26,21967
2020-05-27,22575
2020-05-28,23267
2020-05-29,24112
2020-05-30,25184
2020-05-31,26192
2020-06-01,27043
2020-06-02,27762
2020-06-03,28649
2020-06-04,29359
2020-06-05,29921
2020-06-06,30644
2020-06-07,31131
2020-06-08,31848
2020-06-09,32510
2020-06-10,33140
2020-06-11,33823
2020-06-12,34432
2020-06-13,34952
2020-06-14,35466
2020-06-15,35920
2020-06-16,36431
2020-06-17,36958
2020-06-18,37533
2020-06-19,38074
2020-06-20,38678
2020-06-21,39145
2020-06-22,39650
2020-06-23,40291
2020-06-24,41033
2020-06-25,41879
2020-06-26,42788
2020-06-27,43703
2020-06-28,44391
2020-06-29,44942
2020-06-30,45524
2020-07-01,46195
2020-07-02,46940
2020-07-03,47859
2020-07-04,48672
2020-07-05,49303
2020-07-06,49941
2020-07-07,50644
2020-07-08,51245
2020-07-09,52007
2020-07-10,52840
2020-07-11,53580
2020-07-12,54058
2020-07-13,54894
2020-07-14,55508
2020-07-15,56174
2020-07-16,56877
2020-07-17,57668
2020-07-18,58221
2020-07-19,58904
2020-07-20,59204
2020-07-21,59763
2020-07-22,60434
2020-07-23,61185
2020-07-24,61872
2020-07-25,62625
2020-07-26,63309
2020-07-27,63773
2020-07-28,64379
2020-07-29,65149
2020-07-30,65903
2020-07-31,66529
2020-08-01,66957
2020-08-02,67448
2020-08-03,67911
2020-08-04,68299
2020-08-05,68774
2020-08-06,69425
2020-08-07,70045
2020-08-08,70727
2020-08-09,71199
2020-08-10,71713
2020-08-11,72400
