date,confirmed deaths
2020-4-05,1
2020-4-06,1
2020-4-07,1
2020-4-08,1
2020-4-09,1
2020-4-10,1
2020-4-11,1
2020-4-12,1
2020-4-13,1
2020-4-14,2
2020-4-15,3
2020-4-16,3
2020-4-17,3
2020-4-18,5
2020-4-19,6
2020-4-20,7
2020-4-21,9
2020-4-22,11
2020-4-23,13
2020-4-24,14
2020-4-25,15
2020-4-26,19
2020-4-27,20
2020-4-28,22
2020-4-29,23
2020-4-30,24
2020-5-01,26
2020-5-02,30
2020-5-03,33
2020-5-04,38
2020-5-05,40
2020-5-06,40
2020-5-07,42
2020-5-08,44
2020-5-09,47
2020-5-10,49
2020-5-11,58
2020-5-12,65
2020-5-13,75
2020-5-14,82
2020-5-15,88
2020-5-16,96
2020-5-17,107
2020-5-18,112
2020-5-19,118
2020-5-20,121
2020-5-21,124
2020-5-22,129
2020-5-23,138
2020-5-24,148
2020-5-25,156
2020-5-26,165
2020-5-27,172
2020-5-28,175
