date,total_cases,total_recovered,total_ICU,time_CDT
2020-02-20,8,0,0,1:37AM
2020-02-20,9,0,0,11:50AM
2020-02-20,11,0,0,5:06PM
2020-02-20,12,0,0,12:55AM
2020-02-20,18,0,0,3:35AM
2020-02-20,25,0,0,4:41AM
2020-02-20,26,0,0,8:17AM
2020-02-20,43,0,0,2:37AM
2020-02-20,45,0,0,3:45AM
2020-02-20,45,0,0,3:27AM
2020-02-20,46,0,0,1:47AM
2020-02-20,56,0,0,1:38AM
2020-02-20,56,0,0,1:31AM
2020-02-20,56,0,0,1:59AM
2020-02-20,58,0,0,1:21AM
2020-02-20,58,0,0,8:20AM
2020-02-20,61,0,0,3:39AM
2020-02-20,62,0,0,1:33AM
2020-02-20,64,0,0,6:47AM
2020-02-20,65,0,0,3:02AM
2020-02-20,69,0,0,2:39AM
2020-02-20,72,2,5,2:58AM
2020-02-20,80,5,4,2:53AM
2020-02-20,100,5,4,7:38AM
2020-02-20,104,7,6,5:18AM
2020-02-20,112,9,4,2:39AM
2020-02-20,123,9,4,2:39AM
2020-02-20,130,12,4,2:54AM
2020-02-20,142,15,4,2:35AM
2020-02-20,148,18,5,2:54AM
2020-02-20,159,22,5,3:30AM
2020-02-20,176,27,5,4:08AM
