date,total_count,day,linear_fit,exp_fit
25-Feb-20,11,1,5.359,4.892071913363558
26-Feb-20,26,2,10.649000000000001,4.985909917816788
27-Feb-20,43,3,15.939000000000002,5.081547889898401
28-Feb-20,45,4,21.229,5.179020355954963
29-Feb-20,45,5,26.519,5.278362504605293
1-Mar-20,46,6,31.809,5.379610199443934
2-Mar-20,56,7,37.099000000000004,5.482799991988292
3-Mar-20,56,8,42.389,5.58796913487414
4-Mar-20,56,9,47.679,5.695155595304216
5-Mar-20,58,10,52.969,5.804398068754807
6-Mar-20,58,11,58.259,5.915735992945223
7-Mar-20,61,12,63.54900000000001,6.029209562075251
8-Mar-20,64,13,68.839,6.144859741335696
9-Mar-20,65,14,74.129,6.262728281697254
10-Mar-20,69,15,79.419,6.382857734983074
11-Mar-20,72,16,84.709,6.505291469230424
12-Mar-20,80,17,89.99900000000001,6.630073684347024
13-Mar-20,100,18,95.289,6.757249428067692
14-Mar-20,104,19,100.57900000000001,6.886864612217067
15-Mar-20,112,20,105.869,7.018966029284277
16-Mar-20,123,21,111.159,7.153601369315532
17-Mar-20,130,22,116.449,7.290819237130751
18-Mar-20,142,23,121.739,7.430669169870432
19-Mar-20,148,24,127.02900000000001,7.573201654879093
20-Mar-20,159,25,132.319,7.718468147931756
21-Mar-20,176,26,137.60899999999998,7.86652109181004
22-Mar-20,188,27,142.899,8.01741393523457
