date,total_cases,total_recovered,total_ICU,total_deaths,time_CDT
25-Feb-20,8,0,0,0,1:37AM
25-Feb-20,9,0,0,0,11:50AM
25-Feb-20,11,0,0,0,5:06PM
26-Feb-20,12,0,0,0,12:55AM
26-Feb-20,18,0,0,0,3:35AM
26-Feb-20,25,0,0,0,4:41AM
26-Feb-20,26,0,0,0,8:17AM
27-Feb-20,43,0,0,0,2:37AM
28-Feb-20,45,0,0,0,3:45AM
29-Feb-20,45,0,0,0,3:27AM
1-Mar-20,46,0,0,0,1:47AM
2-Mar-20,56,0,0,0,1:38AM
3-Mar-20,56,0,0,0,1:31AM
4-Mar-20,56,0,0,0,1:59AM
5-Mar-20,58,0,0,0,1:21AM
6-Mar-20,58,0,0,0,8:20AM
7-Mar-20,61,0,0,0,3:39AM
8-Mar-20,62,0,0,0,1:33AM
8-Mar-20,64,0,0,0,6:47AM
9-Mar-20,65,0,0,0,3:02AM
10-Mar-20,69,0,0,0,2:39AM
11-Mar-20,72,2,5,0,2:58AM
12-Mar-20,80,5,4,0,2:53AM
13-Mar-20,100,5,4,0,7:38AM
14-Mar-20,104,7,6,0,5:18AM
15-Mar-20,112,9,4,0,2:39AM
16-Mar-20,123,9,4,0,2:39AM
17-Mar-20,130,12,4,0,2:54AM
18-Mar-20,142,15,4,0,2:35AM
19-Mar-20,148,18,5,0,2:54AM
20-Mar-20,159,22,5,0,3:30AM
21-Mar-20,176,27,5,0,4:08AM
22-Mar-20,188,30,5,0,4:27AM
23-Mar-20,189,30,5,0,2:56AM
24-Mar-20,191,39,5,0,4:20AM
25-Mar-20,195,43,6,0,3:10AM
26-Mar-20,208,49,7,0,3:08AM
27-Mar-20,225,57,11,0,4:29AM
28-Mar-20,235,64,11,0,4:02AM
29-Mar-20,255,67,12,0,4:10AM
30-Mar-20,266,72,13,0,4:07AM
31-Mar-20,289,73,13,0,4:11AM
01-Apr-20,317,80,14,0,4:09AM
02-Apr-20,342,81,15,0,4:08AM
03-Apr-20,417,82,16,0,3:30AM
04-Apr-20,479,93,17,1,5:33AM
05-Apr-20,556,99,17,1,4:13AM
06-Apr-20,665,103,20,1,4:10AM
07-Apr-20,743,105,23,1,4:12AM
08-Apr-20,855,111,21,1,4:10AM
09-Apr-20,910,111,22,1,4:31AM
10-Apr-20,993,123,26,1,4:15AM
11-Apr-20,1154,133,27,1,4:08AM
12-Apr-20,1234,142,29,1,4:16AM
13-Apr-20,1300,150,26,2,4:24AM
14-Apr-20,1355,176,26,3,4:21AM
15-Apr-20,1405,206,31,3,4:31AM
16-Apr-20,1524,225,32,3,12:33PM
17-Apr-20,1658,258,32,5,2:05PM
18-Apr-20,1751,280,34,6,12:14PM
19-Apr-20,1915,305,38,7,12:27PM
20-Apr-20,1995,367,39,9,12:37PM
21-Apr-20,2080,412,46,11,12:28PM
22-Apr-20,2248,443,50,13,12:38PM
23-Apr-20,2399,498,55,14,12:41PM
24-Apr-20,2614,613,60,15,2:13PM
25-Apr-20,2892,656,58,19,2:04PM
26-Apr-20,3075,806,61,20,2:12PM
27-Apr-20,3288,1012,64,22,2:24PM
28-Apr-20,3440,1176,67,23,2:27PM
29-Apr-20,3740,1389,66,24,2:25PM
30-Apr-20,4024,1539,66,26,2:19PM
01-May-20,4377,1602,70,30,2:09PM
02-May-20,4619,1703,69,33,2:50PM
03-May-20,4983,1776,72,38,2:24PM
04-May-20,5278,1947,79,40,2:30PM
05-May-20,5804,2032,90,40,2:33PM
06-May-20,6289,2219,88,42,2:33PM
